EncryptedID,Semester,GPA,TC qua,Acc
0059465bccbf26209fed13633527543cc02665bed4c2616db3e822fcba5e73b6,1,1.71,12,12
0059465bccbf26209fed13633527543cc02665bed4c2616db3e822fcba5e73b6,2,1.45,11,23
0059465bccbf26209fed13633527543cc02665bed4c2616db3e822fcba5e73b6,3,1.74,18,43
0059465bccbf26209fed13633527543cc02665bed4c2616db3e822fcba5e73b6,4,0.67,9,52
0059465bccbf26209fed13633527543cc02665bed4c2616db3e822fcba5e73b6,5,1.88,14,69
0059465bccbf26209fed13633527543cc02665bed4c2616db3e822fcba5e73b6,6,2.44,16,85
0059465bccbf26209fed13633527543cc02665bed4c2616db3e822fcba5e73b6,7,3.42,13,101
0059465bccbf26209fed13633527543cc02665bed4c2616db3e822fcba5e73b6,8,3.0,21,122
0059465bccbf26209fed13633527543cc02665bed4c2616db3e822fcba5e73b6,9,3.38,16,143
0059465bccbf26209fed13633527543cc02665bed4c2616db3e822fcba5e73b6,10,3.5,12,155
00601faa4a78da8ea1c7035885e8c9cfe3c253cbd6dd506d9ade724520599086,1,1.5,10,10
00601faa4a78da8ea1c7035885e8c9cfe3c253cbd6dd506d9ade724520599086,2,1.41,11,21
00601faa4a78da8ea1c7035885e8c9cfe3c253cbd6dd506d9ade724520599086,3,2.38,21,46
00601faa4a78da8ea1c7035885e8c9cfe3c253cbd6dd506d9ade724520599086,4,1.5,12,58
00601faa4a78da8ea1c7035885e8c9cfe3c253cbd6dd506d9ade724520599086,5,2.14,16,74
00601faa4a78da8ea1c7035885e8c9cfe3c253cbd6dd506d9ade724520599086,6,2.21,16,90
00601faa4a78da8ea1c7035885e8c9cfe3c253cbd6dd506d9ade724520599086,7,2.35,24,114
00601faa4a78da8ea1c7035885e8c9cfe3c253cbd6dd506d9ade724520599086,8,3.66,19,133
00601faa4a78da8ea1c7035885e8c9cfe3c253cbd6dd506d9ade724520599086,9,3.62,12,147
00601faa4a78da8ea1c7035885e8c9cfe3c253cbd6dd506d9ade724520599086,10,4.0,3,150
00601faa4a78da8ea1c7035885e8c9cfe3c253cbd6dd506d9ade724520599086,11,3.0,9,159
0078d105a9a4fd44cee799e3d55363eb03fe0cd03d62aa77fe7742a8a93b4aef,1,1.17,4,4
0078d105a9a4fd44cee799e3d55363eb03fe0cd03d62aa77fe7742a8a93b4aef,2,2.75,12,16
0078d105a9a4fd44cee799e3d55363eb03fe0cd03d62aa77fe7742a8a93b4aef,3,2.97,18,38
0078d105a9a4fd44cee799e3d55363eb03fe0cd03d62aa77fe7742a8a93b4aef,4,2.73,15,53
0078d105a9a4fd44cee799e3d55363eb03fe0cd03d62aa77fe7742a8a93b4aef,5,3.29,19,78
0078d105a9a4fd44cee799e3d55363eb03fe0cd03d62aa77fe7742a8a93b4aef,6,1.89,16,94
0078d105a9a4fd44cee799e3d55363eb03fe0cd03d62aa77fe7742a8a93b4aef,7,2.79,19,115
0078d105a9a4fd44cee799e3d55363eb03fe0cd03d62aa77fe7742a8a93b4aef,8,2.95,16,131
