EncryptedID,GPA_1,GPA_2,GPA_3,GPA_4,GPA_5,GPA_6,GPA_7,GPA_8,GPA_9,GPA_10,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC_10,Final CPA
0029e6838b169678e045d91c8dd2a98f9e284968f4184b54fa20687424126c2f,2.58,1.92,2.41,1.9,2.17,3.7,3.8,3.32,3.33,1.0,12.0,9.0,17.0,17.0,15.0,20.0,23.0,20.0,23.0,2.0,2.91
0068e4e9ec9fba185a95d41e58d358f0058901376b92f9c62fb17847f5cc207d,3.17,3.46,2.75,3.0,1.98,3.08,2.56,3.0,3.1,3.39,12.0,12.0,15.0,17.0,14.0,20.0,17.0,13.0,10.0,19.0,2.95
01277415ad8719ff1d1d29512d592675cb75cefc51655593f05da1f0a43b75f2,2.5,1.85,1.71,2.6,2.08,2.68,2.42,2.9,3.55,4.0,12.0,10.0,17.0,10.0,16.0,17.0,17.0,18.0,20.0,12.0,2.65
01630460fb288ed913f9d5d87c17405fb06eef1f537f822fa4de2d517fc1cc09,2.08,3.32,2.75,3.0,2.92,3.36,3.23,2.91,3.25,4.0,12.0,11.0,22.0,16.0,18.0,21.0,13.0,16.0,12.0,9.0,3.04
01e73e55c3f99f4e31921587d37e4e2a8be14699b68392d04afeaee623a2d415,1.33,0.45,1.68,1.91,2.07,2.67,3.09,2.81,3.07,3.18,8.0,5.0,19.0,16.0,18.0,23.0,16.0,16.0,15.0,11.0,2.38
022eb46fde2f39a2b1cafa50953bf1dcbd710f366cd50f6c499b4e302321b5b7,2.33,3.27,3.41,2.59,2.8,3.24,3.82,3.42,3.63,4.0,12.0,11.0,22.0,16.0,12.0,19.0,17.0,19.0,19.0,9.0,3.27
033d1cadff9bcd10ca5752234b67082eea2fd0b9ced8f57a98dafd7d8aae4002,2.42,1.18,1.84,1.12,0.92,2.64,2.0,3.5,3.07,3.62,12.0,8.0,19.0,11.0,12.0,21.0,17.0,22.0,14.0,12.0,2.36
037a065f0a96b6d18aa6d0d67c74985776471f15472241c82aa6331254e67af9,2.83,2.69,3.24,3.36,2.84,2.74,2.66,3.43,3.8,3.5,12.0,13.0,17.0,18.0,22.0,19.0,16.0,14.0,10.0,12.0,3.07
039c2a70be645e3b09a03709ca4fac42c435809f639bd803bca0cdf28f37a1cc,1.25,0.67,1.9,2.88,2.42,3.62,2.98,3.65,3.56,3.25,8.0,4.0,12.0,16.0,18.0,20.0,20.0,17.0,17.0,12.0,2.91
0483148970e49e0bb6ec4b8e42ef3be702a976caa95820094010b4daf3d2782c,2.58,1.36,1.95,1.76,1.52,2.06,2.45,2.88,2.76,3.62,12.0,9.0,16.0,11.0,14.0,12.0,17.0,24.0,17.0,12.0,2.37
04d07f632e3cc4c2e8f108c764a144e345bd45466312c3b4faf578932c7c754b,3.17,3.17,3.52,3.5,3.02,3.86,3.69,3.5,3.5,4.0,12.0,12.0,20.0,17.0,20.0,18.0,18.0,20.0,6.0,12.0,3.49
058b62f114b8ddcfbe6aa66de0dc793929d5341fbe17a857bd8edd327075c1b0,3.0,2.81,2.62,3.16,3.1,3.38,3.11,3.22,3.07,4.0,12.0,13.0,17.0,19.0,21.0,21.0,22.0,16.0,11.0,2.0,3.08
061d0efc5d053590e7248be168146243dce492ad2ad7816a3ffef16ea82d3769,2.85,2.9,3.26,3.24,3.56,3.81,3.26,3.78,4.0,4.0,13.0,15.0,19.0,23.0,17.0,16.0,21.0,16.0,3.0,9.0,3.39
06270b22d6423d7998d93467bdd5d17feca3f422b4e7083ef9292a5f7cf26f6d,2.92,3.33,2.92,2.4,2.8,3.82,3.62,3.44,3.89,3.5,12.0,12.0,18.0,17.0,20.0,17.0,17.0,16.0,9.0,9.0,3.21
063f4093ba6535242fccdf6d61e55281f13267d5e80af3a389d2d51d3bddb9ce,2.42,2.5,2.68,1.91,2.33,3.4,3.72,3.75,3.5,3.82,12.0,11.0,19.0,14.0,15.0,21.0,16.0,16.0,10.0,11.0,3.01
06ca2d8ee79faba4ad517e60f6263df3c6c053db3b9b33db53139f977e7073cf,1.42,2.5,2.5,2.5,2.98,3.22,2.81,3.12,3.75,3.5,10.0,11.0,22.0,16.0,19.0,23.0,16.0,17.0,8.0,9.0,2.83
06dee16b09eac05eca8a98632c80de4f22a8766b59a0daaf96bf2a5401bd4692,2.75,2.5,3.32,2.12,2.72,3.68,3.53,3.02,3.5,4.0,12.0,11.0,22.0,16.0,17.0,20.0,16.0,20.0,8.0,9.0,3.1
078669cc2a3f40ae7c63b641c917bb1068b2c4568ace6192e2fb3c831f7a8099,2.58,2.67,2.25,2.82,2.09,3.6,2.85,3.63,3.5,3.5,12.0,12.0,18.0,17.0,16.0,24.0,20.0,19.0,3.0,9.0,2.93
0825e31f4264e36356615023fc4ac249a75b23be016d28ad23df5d77222c9b7f,2.33,2.96,1.2,1.79,2.28,2.09,1.22,2.71,3.24,3.62,12.0,13.0,12.0,19.0,20.0,14.0,8.0,19.0,17.0,12.0,2.39
08b43683e011332f46819004e9012c1772c16ec05071ad56decc3ebab758f384,1.67,2.77,2.5,1.66,2.6,3.56,3.15,3.32,3.67,4.0,8.0,11.0,22.0,19.0,21.0,17.0,13.0,19.0,6.0,9.0,2.81
08c2b2626af57ba784bf55a089fac9e8b29c321009a246c24603d8982e787ced,2.58,0.92,0.83,1.39,2.92,2.56,2.19,2.85,2.74,3.85,12.0,10.0,6.0,11.0,18.0,18.0,13.0,23.0,17.0,13.0,2.48
093514c5d9233d47d538cc2c256fb6928ed4b03015805cbc065d5815f32020f6,3.33,3.25,3.1,3.03,2.43,3.72,3.25,3.27,3.5,4.0,12.0,12.0,15.0,19.0,21.0,16.0,18.0,13.0,18.0,11.0,3.24
0a1d2b3781f31c70cf374d9452b1e006731445e12b9c85e759967b0fefd76e3e,1.08,0.92,1.0,1.79,1.79,3.37,3.05,2.44,2.44,3.62,8.0,7.0,9.0,14.0,18.0,19.0,21.0,15.0,17.0,12.0,2.36
0a4bef160836af2aa619f00f090719d03472607d9fd5006073b2834276e41394,2.67,1.91,3.11,2.45,1.42,3.5,2.97,3.75,3.06,3.7,12.0,8.0,22.0,19.0,12.0,20.0,16.0,16.0,16.0,15.0,2.96
0a66ea563b1e194d8fff6866e735ff507e23b487cbb6e5521367ee54a45bb726,2.25,1.36,2.34,1.5,1.47,2.8,3.75,3.07,3.77,4.0,12.0,9.0,22.0,13.0,11.0,17.0,18.0,21.0,11.0,9.0,2.68
0bfbf151927ffea9f09d1a48a26fa84a2350003918bae31ed89771196f3cc991,2.5,1.92,2.32,1.68,1.0,3.12,2.26,2.41,3.08,3.03,12.0,12.0,22.0,17.0,9.0,16.0,17.0,16.0,18.0,16.0,2.4
0bfc983218168d07445473d57bd9e1a92bce677427e25ce0a091eb39bdda880b,1.67,2.36,2.25,2.25,2.42,1.94,2.74,3.12,3.25,3.5,8.0,11.0,22.0,14.0,18.0,11.0,18.0,21.0,16.0,9.0,2.59
0cceab904ec0bcd5293678f26a7b9a5456143d0be3d681d411c16aade103df38,2.92,2.77,3.18,3.09,3.33,3.06,3.13,3.53,3.46,4.0,12.0,11.0,19.0,17.0,18.0,18.0,15.0,19.0,13.0,12.0,3.25
0d132c1b539ea6576702947e7fadc4e34379c1e1f0e0bb6e574645791bfe8586,1.92,1.0,1.16,2.25,2.8,2.29,3.26,2.79,4.0,4.0,12.0,11.0,16.0,11.0,20.0,16.0,23.0,21.0,10.0,9.0,2.55
0daf2cb3515c1a6c5497905d494c7cd630d8161d6d4cd77bdf96356be35fffc8,2.67,2.5,3.37,2.47,2.5,3.58,3.11,3.52,3.5,4.0,12.0,11.0,19.0,16.0,15.0,20.0,19.0,22.0,15.0,9.0,3.15
0dd10105a496d33325fc22b91620f751a34a2f832abc374a248c12d4faa8b05b,1.58,1.55,2.25,3.0,2.24,3.33,2.81,3.19,3.5,4.0,12.0,11.0,22.0,16.0,14.0,21.0,21.0,16.0,12.0,9.0,2.75
0e39cc2fbebbdef7153a741aefba7cdecb14d6da3e366e63c43e032f23067519,2.58,2.95,3.11,2.79,3.25,2.85,3.75,3.48,3.62,4.0,12.0,11.0,22.0,19.0,18.0,14.0,20.0,23.0,8.0,9.0,3.23
0ea88b48785759010eab3ed01ace340aa2069888ac1cb9af03125a617ae28dac,3.08,3.41,2.86,1.54,3.0,3.03,2.89,3.23,2.71,3.62,12.0,11.0,22.0,7.0,17.0,19.0,19.0,22.0,7.0,12.0,3.01
0ec4424389b92d521f60a35edfdfc8d601d635704e92a1ba56f346bfeb0fdbb5,2.5,2.31,2.47,3.05,2.42,1.75,3.28,2.94,3.53,3.41,12.0,10.0,14.0,21.0,20.0,15.0,16.0,17.0,15.0,16.0,2.8
0f0ace9c72419cb4088dc9714e9d704edb4c1d80f05fe6829fa7765a9fcf8a3f,2.25,3.17,2.83,3.68,3.76,3.76,3.67,3.82,3.33,4.0,12.0,12.0,18.0,17.0,19.0,19.0,15.0,20.0,6.0,9.0,3.46
0f8d1d1a201199a31db32c023bde37ea54eb3d804b5c609c8c6f0cac2a998595,2.17,2.0,1.75,1.91,2.48,2.8,3.38,3.57,3.6,4.0,12.0,9.0,15.0,14.0,17.0,23.0,21.0,22.0,5.0,9.0,2.77
0f978b13c11f23c9bb0ce692949e1776372ac30bd7ed7164cc546c33695263f0,2.42,2.55,2.21,2.0,1.93,2.19,2.8,2.8,3.42,4.0,12.0,11.0,19.0,13.0,21.0,15.0,20.0,15.0,12.0,12.0,2.57
111071bd8f52d6f36b8ec885c833b51718d1f99aa74800577f961c59eeca880f,2.67,3.45,3.61,3.91,3.34,3.47,3.58,3.79,3.85,4.0,12.0,11.0,19.0,17.0,19.0,17.0,18.0,19.0,13.0,9.0,3.57
1137384c6efde83f0fd17e5b1d6902e2b82d727e4af52f44dcd0d681133fffb6,2.42,1.0,1.82,1.08,2.69,2.55,2.89,3.48,3.5,4.0,12.0,8.0,16.0,7.0,21.0,20.0,22.0,21.0,10.0,9.0,2.66
116fe5142250051ce0682a18d8a1be582c052a5f8f7964bafd626878a978c3f8,2.58,2.83,2.62,3.61,3.65,3.86,3.95,3.82,0.0,4.0,12.0,12.0,17.0,19.0,20.0,21.0,22.0,17.0,0.0,9.0,3.49
122ee85a039701f1082e1595c027aca815295c99b750868992ca524f393001ad,2.67,2.58,3.03,2.68,3.47,3.71,3.69,3.66,3.71,4.0,12.0,12.0,17.0,22.0,17.0,21.0,16.0,16.0,7.0,9.0,3.29
13128deb9f780aeaff8cfc164002f31e745884e512d67eca9d174b7378694479,2.42,2.0,2.1,2.26,1.8,2.95,2.72,3.33,2.27,3.5,12.0,13.0,12.0,19.0,17.0,20.0,20.0,18.0,8.0,12.0,2.56
159034f8ba3c1917dbf997d2ce093659ce9582c9bd80f3a6bbfae80e04af6857,2.5,2.0,3.35,3.03,3.1,3.08,3.03,3.41,3.46,3.5,12.0,10.0,17.0,17.0,20.0,20.0,16.0,16.0,13.0,9.0,3.08
16161e81da2914d1f66b4e78998516ec0de7e47980b849bd832539b9ec6a26a3,1.33,1.42,1.4,1.35,2.94,2.34,2.81,3.02,2.46,3.0,8.0,9.0,12.0,14.0,18.0,19.0,18.0,24.0,12.0,15.0,2.38
165ce114efe696b00bb4a4d444846f4ee5b8f7e09391fdbf3176828eadf81253,3.33,2.86,2.76,2.32,2.92,3.33,3.85,3.64,3.83,4.0,12.0,11.0,16.0,22.0,18.0,21.0,13.0,18.0,12.0,9.0,3.2
