Semester,GPA,CPA,TC qua,Acc,Debt,Reg,Level,Warning,Missing,No count,Prog,Relative Term,EncryptedID
20171,1.29,1.29,10,10,4,14,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,1,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20172,0.95,1.14,9,19,6,25,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,2,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20181,1.29,1.21,12,31,15,46,Năm thứ nhất,Mức 1, , ,Kỹ thuật điện tử - viễn thông,3,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20182,1.42,1.31,18,49,15,64,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,4,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20191,0.94,1.29,8,59,23,82,Năm thứ hai,Mức 1, , ,Kỹ thuật điện tử - viễn thông,5,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20192,1.26,1.35,12,71,25,96,Năm thứ ba,Mức 1,PE1014;, ,Kỹ thuật điện tử - viễn thông,6,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20201,1.79,1.68,9,84,18,102,Năm thứ ba,Mức 1,PE1014;, ,Kỹ thuật điện tử - viễn thông,7,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20202,2,1.77,18,102,15,117,Năm thứ tư,Mức 0,PE1014;,"CLE4333,Tiếng Anh Aptis trình độ B1;",Kỹ thuật điện tử - viễn thông,8,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20211,3.58,2.07,18,127,8,135,Năm thứ tư,Mức 0,PE1014;,"CLE4333,Tiếng Anh Aptis trình độ B1;",Kỹ thuật điện tử - viễn thông,9,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20212,2.88,2.2,11,138,6,144,Năm thứ năm,Mức 0, ,"CLE4333,Tiếng Anh Aptis trình độ B1;PE1010,Giáo dục thể chất A;",Kỹ thuật điện tử - viễn thông,10,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20221,2.4,2.34,9,150,6,156,Năm thứ năm,Mức 0, ,"CLS400,Tiếng Anh định hướng TOEIC 400;CLE4333,Tiếng Anh Aptis trình độ B1;PE1010,Giáo dục thể chất A;",Kỹ thuật điện tử - viễn thông,11,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20222, ,2.34,0,150,6,159,Năm thứ năm,Mức 0, ,"PH1120,Vật lý đại cương II;CLS400,Tiếng Anh định hướng TOEIC 400;CLE4333,Tiếng Anh Aptis trình độ B1;PE1010,Giáo dục thể chất A;",Kỹ thuật điện tử - viễn thông,12,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20231,0,2.34,0,150,6,159,Năm thứ năm,Mức 0, ,"PH1120,Vật lý đại cương II;CLE4333,Tiếng Anh Aptis trình độ B1;PE1010,Giáo dục thể chất A;",Kỹ thuật điện tử - viễn thông,13,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20232, ,2.34,0,150,6,159,Năm thứ năm,Mức 0, ,"PH1120,Vật lý đại cương II;CLE4333,Tiếng Anh Aptis trình độ B1;PE1010,Giáo dục thể chất A;",Kỹ thuật điện tử - viễn thông,14,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
